Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume
2025-03-31 02:49:00,2025-03-31 02:49:00,412.81,-0.310000000000002,-0.000750387296669254,412.81,412.81,412.81,1.0
2025-03-31 02:53:00,2025-03-31 02:53:00,412.8,-0.00999999999999091,-2.42242193745086e-05,412.78,412.78,412.8,5.0
2025-03-31 02:54:00,2025-03-31 02:54:00,412.87,0.0699999999999932,0.000169573643410836,412.87,412.87,412.87,1.0
2025-03-31 02:55:00,2025-03-31 02:55:00,412.75,-0.120000000000005,-0.000290648388112492,412.75,412.75,412.75,1.0
2025-03-31 02:58:00,2025-03-31 02:58:00,412.78,0.0299999999999727,7.26832222894554e-05,412.78,412.78,412.78,1.0
2025-03-31 02:59:00,2025-03-31 02:59:00,412.8,0.0200000000000387,4.84519598818709e-05,412.8,412.8,412.8,1.0
2025-03-31 03:03:00,2025-03-31 03:03:00,412.94,0.139999999999986,0.000339147286821672,412.94,412.94,412.94,100.0
2025-03-31 03:04:00,2025-03-31 03:04:00,412.98,0.0400000000000205,9.68663728387186e-05,412.99,412.98,412.99,480.0
2025-03-31 03:05:00,2025-03-31 03:05:00,412.84,-0.140000000000043,-0.000338999467286656,412.84,412.84,412.84,100.0
2025-03-31 03:08:00,2025-03-31 03:08:00,412.92,0.0800000000000409,0.000193779672512453,412.92,412.92,412.92,100.0
2025-03-31 03:14:00,2025-03-31 03:14:00,412.87,-0.0500000000000114,-0.000121088830766278,412.88,412.87,412.88,104.0
2025-03-31 03:15:00,2025-03-31 03:15:00,413.02,0.149999999999977,0.000363310485140546,412.92,412.92,413.02,863.0
2025-03-31 03:16:00,2025-03-31 03:16:00,413.07,0.0500000000000114,0.000121059512856548,413.02,413.0,413.07,185.0
2025-03-31 03:18:00,2025-03-31 03:18:00,412.94,-0.129999999999995,-0.000314716633984544,412.92,412.92,412.94,800.0
2025-03-31 03:19:00,2025-03-31 03:19:00,413.0,0.0600000000000023,0.000145299559258009,412.99,412.99,413.05,238.0
2025-03-31 03:20:00,2025-03-31 03:20:00,412.95,-0.0500000000000114,-0.000121065375302691,412.95,412.95,412.95,250.0
2025-03-31 03:21:00,2025-03-31 03:21:00,413.03,0.0799999999999841,0.000193728054243817,413.0,413.0,413.03,532.0
2025-03-31 03:23:00,2025-03-31 03:23:00,412.97,-0.0599999999999454,-0.000145267898215494,412.97,412.97,412.97,50.0
2025-03-31 03:24:00,2025-03-31 03:24:00,412.89,-0.0800000000000409,-0.000193718672058602,412.89,412.89,412.89,136.0
2025-03-31 03:27:00,2025-03-31 03:27:00,413.0,0.110000000000014,0.00026641478359857,413.0,413.0,413.0,8.0
2025-03-31 03:29:00,2025-03-31 03:29:00,413.03,0.0299999999999727,7.2639225181532e-05,413.03,413.03,413.03,1.0
2025-03-31 03:32:00,2025-03-31 03:32:00,413.08,0.0500000000000114,0.000121056581846383,413.08,413.08,413.08,167.0
2025-03-31 03:33:00,2025-03-31 03:33:00,413.12,0.0400000000000205,9.6833543139393e-05,413.12,413.12,413.12,290.0
2025-03-31 03:34:00,2025-03-31 03:34:00,413.13,0.00999999999999091,2.42060418280183e-05,413.13,413.13,413.13,30.0
2025-03-31 03:35:00,2025-03-31 03:35:00,413.07,-0.0600000000000023,-0.000145232735458578,413.07,413.07,413.07,10.0
2025-03-31 03:36:00,2025-03-31 03:36:00,413.04,-0.0299999999999727,-7.26269155348312e-05,413.04,413.04,413.04,29.0
2025-03-31 03:37:00,2025-03-31 03:37:00,413.12,0.0799999999999841,0.000193685841564943,413.09,413.09,413.12,1000.0
2025-03-31 03:38:00,2025-03-31 03:38:00,413.2,0.0799999999999841,0.000193648334624284,413.16,413.16,413.23,976.0
2025-03-31 03:40:00,2025-03-31 03:40:00,413.16,-0.0399999999999636,-9.68054211034938e-05,413.16,413.16,413.16,5.0
2025-03-31 03:46:00,2025-03-31 03:46:00,413.07,-0.0900000000000318,-0.000217833284926014,413.07,413.07,413.07,476.0
2025-03-31 03:48:00,2025-03-31 03:48:00,413.08,0.00999999999999091,2.42089718449437e-05,413.08,413.08,413.1,410.0
2025-03-31 03:49:00,2025-03-31 03:49:00,413.16,0.0800000000000409,0.000193667086278786,413.13,413.13,413.16,405.0
2025-03-31 03:50:00,2025-03-31 03:50:00,413.15,-0.0100000000000477,-2.42036983252196e-05,413.15,413.15,413.15,5.0
2025-03-31 03:55:00,2025-03-31 03:55:00,413.04,-0.109999999999957,-0.000266247125741152,413.04,413.04,413.04,898.0
2025-03-31 03:56:00,2025-03-31 03:56:00,413.1,0.0600000000000023,0.000145264381173742,413.1,413.1,413.1,25.0
2025-03-31 03:59:00,2025-03-31 03:59:00,413.08,-0.0200000000000387,-4.84144274994884e-05,413.06,413.06,413.08,400.0
2025-03-31 04:01:00,2025-03-31 04:01:00,413.01,-0.0699999999999932,-0.000169458700493835,413.03,413.01,413.16,296.0
2025-03-31 04:02:00,2025-03-31 04:02:00,413.08,0.0699999999999932,0.000169487421612051,413.04,413.04,413.08,504.0
2025-03-31 04:03:00,2025-03-31 04:03:00,412.97,-0.109999999999957,-0.00026629224363309,413.0,412.97,413.05,179.0
2025-03-31 04:04:00,2025-03-31 04:04:00,413.09,0.119999999999948,0.000290578008087628,413.03,413.03,413.1,681.0
2025-03-31 04:05:00,2025-03-31 04:05:00,413.15,0.0600000000000023,0.000145246798518488,413.07,413.07,413.15,597.0
2025-03-31 04:06:00,2025-03-31 04:06:00,413.08,-0.0699999999999932,-0.000169429989108056,413.14,413.03,413.25,2782.0
2025-03-31 04:08:00,2025-03-31 04:08:00,412.82,-0.259999999999991,-0.000629418030405711,412.86,412.82,412.86,300.0
2025-03-31 04:09:00,2025-03-31 04:09:00,412.78,-0.0400000000000205,-9.68945303038139e-05,412.78,412.78,412.78,50.0
2025-03-31 04:10:00,2025-03-31 04:10:00,412.82,0.0400000000000205,9.6903919763604e-05,412.82,412.82,412.82,80.0
2025-03-31 04:12:00,2025-03-31 04:12:00,413.0,0.180000000000007,0.000436025386366956,412.96,412.96,413.0,328.0
2025-03-31 04:13:00,2025-03-31 04:13:00,412.82,-0.180000000000007,-0.000435835351089605,412.81,412.81,412.82,214.0
2025-03-31 04:14:00,2025-03-31 04:14:00,412.8,-0.0199999999999818,-4.84472651518381e-05,412.8,412.8,412.8,10.0
2025-03-31 04:15:00,2025-03-31 04:15:00,412.85,0.0500000000000114,0.000121124031007779,412.85,412.85,412.85,34.0
2025-03-31 04:16:00,2025-03-31 04:16:00,412.87,0.0199999999999818,4.84437447014214e-05,412.85,412.85,412.87,861.0
2025-03-31 04:17:00,2025-03-31 04:17:00,413.1,0.230000000000018,0.000557076077215633,412.91,412.91,413.1,3875.0
2025-03-31 04:18:00,2025-03-31 04:18:00,413.001,-0.0990000000000464,-0.000239651416122117,413.1,413.001,413.11,1504.0
2025-03-31 04:19:00,2025-03-31 04:19:00,413.17,0.16900000000004,0.000409199977724121,413.11,413.07,413.18,2801.0
2025-03-31 04:21:00,2025-03-31 04:21:00,412.96,-0.210000000000036,-0.00050826536292576,412.93,412.92,412.97,1133.0
2025-03-31 04:22:00,2025-03-31 04:22:00,412.93,-0.0299999999999727,-7.26462611390273e-05,412.98,412.93,412.98,685.0
2025-03-31 04:24:00,2025-03-31 04:24:00,412.94,0.00999999999999091,2.42171796672339e-05,412.94,412.94,412.94,3.0
2025-03-31 04:25:00,2025-03-31 04:25:00,412.86,-0.0799999999999841,-0.0001937327456773,412.85,412.85,412.86,275.0
